Year,Rate
1960,36.4
1960,52.201
1960,54.432
1960,40.886
1960,32.321
1960,47.6112170528681
1960,45.924
1960,23.809
1960,35.408
1960,
1960,31.0
1960,22.4
1960,17.9
1960,41.022
1960,45.866
1960,17.0
1960,43.407
1960,47.531
1960,47.258
1960,17.8
1960,46.568
1960,37.103
1960,33.222
1960,24.08
1960,43.146
1960,28.3
1960,46.359
1960,42.865
1960,30.782
1960,45.555
1960,47.945
1960,46.996
1960,43.682
1960,26.7
1960,17.6
1960,16.383
1960,38.955
1960,20.86
1960,53.053
1960,43.366
1960,42.546
1960,44.585
1960,48.691
1960,50.456
1960,45.366
1960,31.95
1960,
1960,26.57
1960,15.0
1960,17.3
1960,51.109
1960,
1960,16.6
1960,51.692
1960,50.698
1960,26.9380138346429
1960,26.5643853962
1960,
1960,21.2407901369
1960,44.429
1960,45.982
1960,18.7018736353994
1960,48.96
1960,21.7
1960,16.16
1960,47.896
1960,18.5213290000993
1960,18.5
1960,44.813
1960,17.9
1960,
1960,43.569
1960,30.595
1960,17.5
1960,24.253
1960,46.925
1960,
1960,49.165
1960,47.326
1960,41.727
1960,40.22
1960,18.9
1960,44.854
1960,
1960,46.362
1960,35.765
1960,42.62
1960,21.4038633821316
1960,35.325
1960,50.278
1960,48.3355111014556
1960,18.41
1960,44.156
1960,14.7
1960,44.862
1960,47.58
1960,21.5
1960,45.575
1960,41.356
1960,28.0
1960,26.9
1960,18.1
1960,39.44
1960,49.595
1960,17.3
1960,
1960,51.256
1960,
1960,45.107
1960,37.0
1960,
1960,42.12
1960,
1960,43.95
1960,41.6465240210039
1960,42.963
1960,38.98
1960,54.796
1960,48.752
1960,42.24
1960,41.5132841612
1960,47.6860983632596
1960,47.0438506753772
1960,
1960,36.046
1960,34.6202058792221
1960,36.8618737053557
1960,42.264
1960,20.92
1960,15.9
1960,15.8
1960,31.205
1960,50.4
1960,
1960,26.599
1960,48.549
1960,41.741
1960,46.7217015776
1960,45.737
1960,
1960,35.5103311166059
1960,31.435
1960,48.262
1960,26.1
1960,42.843
1960,47.1183775825991
1960,14.168
1960,43.398
1960,
1960,48.878
1960,50.146
1960,
1960,53.923
1960,44.687
1960,43.105
1960,23.9715238639
1960,42.444
1960,34.0
1960,56.358
1960,47.576
1960,51.47
