"state","variable","value"
"United States","Reading",501
"Alabama","Reading",557
"Alaska","Reading",520
"Arizona","Reading",516
"Arkansas","Reading",572
"California","Reading",500
"Colorado","Reading",568
"Connecticut","Reading",509
"Delaware","Reading",495
"District of Columbia","Reading",466
"Florida","Reading",497
"Georgia","Reading",490
"Hawaii","Reading",479
"Idaho","Reading",541
"Illinois","Reading",588
"Indiana","Reading",496
"Iowa","Reading",610
"Kansas","Reading",581
"Kentucky","Reading",573
"Louisiana","Reading",563
"Maine","Reading",468
"Maryland","Reading",500
"Massachusetts","Reading",514
"Michigan","Reading",584
"Minnesota","Reading",595
"Mississippi","Reading",567
"Missouri","Reading",595
"Montana","Reading",541
"Nebraska","Reading",587
"Nevada","Reading",501
"New Hampshire","Reading",523
"New Jersey","Reading",496
"New Mexico","Reading",553
"New York","Reading",485
"North Carolina","Reading",495
"North Dakota","Reading",590
"Ohio","Reading",537
"Oklahoma","Reading",575
"Oregon","Reading",523
"Pennsylvania","Reading",493
"Rhode Island","Reading",498
"South Carolina","Reading",486
"South Dakota","Reading",589
"Tennessee","Reading",571
"Texas","Reading",486
"Utah","Reading",559
"Vermont","Reading",518
"Virginia","Reading",511
"Washington","Reading",524
"West Virginia","Reading",511
"Wisconsin","Reading",594
"Wyoming","Reading",567
"United States","Math",515
"Alabama","Math",552
"Alaska","Math",516
"Arizona","Math",521
"Arkansas","Math",572
"California","Math",513
"Colorado","Math",575
"Connecticut","Math",513
"Delaware","Math",498
"District of Columbia","Math",451
"Florida","Math",498
"Georgia","Math",491
"Hawaii","Math",502
"Idaho","Math",540
"Illinois","Math",604
"Indiana","Math",507
"Iowa","Math",615
"Kansas","Math",589
"Kentucky","Math",573
"Louisiana","Math",558
"Maine","Math",467
"Maryland","Math",502
"Massachusetts","Math",526
"Michigan","Math",603
"Minnesota","Math",609
"Mississippi","Math",554
"Missouri","Math",600
"Montana","Math",542
"Nebraska","Math",594
"Nevada","Math",505
"New Hampshire","Math",523
"New Jersey","Math",513
"New Mexico","Math",546
"New York","Math",502
"North Carolina","Math",511
"North Dakota","Math",593
"Ohio","Math",546
"Oklahoma","Math",571
"Oregon","Math",525
"Pennsylvania","Math",501
"Rhode Island","Math",496
"South Carolina","Math",496
"South Dakota","Math",600
"Tennessee","Math",565
"Texas","Math",506
"Utah","Math",558
"Vermont","Math",518
"Virginia","Math",512
"Washington","Math",531
"West Virginia","Math",501
"Wisconsin","Math",608
"Wyoming","Math",568
"United States","Writing",493
"Alabama","Writing",549
"Alaska","Writing",492
"Arizona","Writing",497
"Arkansas","Writing",556
"California","Writing",498
"Colorado","Writing",555
"Connecticut","Writing",512
"Delaware","Writing",484
"District of Columbia","Writing",461
"Florida","Writing",480
"Georgia","Writing",479
"Hawaii","Writing",469
"Idaho","Writing",520
"Illinois","Writing",583
"Indiana","Writing",480
"Iowa","Writing",588
"Kansas","Writing",564
"Kentucky","Writing",561
"Louisiana","Writing",555
"Maine","Writing",455
"Maryland","Writing",495
"Massachusetts","Writing",510
"Michigan","Writing",575
"Minnesota","Writing",578
"Mississippi","Writing",559
"Missouri","Writing",584
"Montana","Writing",519
"Nebraska","Writing",572
"Nevada","Writing",479
"New Hampshire","Writing",510
"New Jersey","Writing",496
"New Mexico","Writing",534
"New York","Writing",478
"North Carolina","Writing",480
"North Dakota","Writing",566
"Ohio","Writing",523
"Oklahoma","Writing",557
"Oregon","Writing",499
"Pennsylvania","Writing",483
"Rhode Island","Writing",494
"South Carolina","Writing",470
"South Dakota","Writing",569
"Tennessee","Writing",565
"Texas","Writing",475
"Utah","Writing",540
"Vermont","Writing",506
"Virginia","Writing",498
"Washington","Writing",507
"West Virginia","Writing",499
"Wisconsin","Writing",582
"Wyoming","Writing",550
